bridge_id,degree,num_neighbors,component_increase,disconnected_nodes,k_hop_nodes,indirect_damage_score
BR_0223,416,416,37,37,430,5.4675871571906
BR_0541,649,649,0,0,671,5.455175711212048
BR_0520,632,632,0,0,662,5.341979440592876
BR_0726,100,100,84,84,106,5.324248090811859
BR_0378,636,636,0,0,651,5.322097378277153
BR_0603,624,624,0,0,655,5.278906685791696
BR_0454,588,588,5,5,619,5.246831891801273
BR_0405,577,577,5,5,607,5.151684868134048
BR_0739,500,500,17,17,513,5.09269882817182
BR_0514,598,598,0,0,624,5.044664913538927
BR_0715,601,601,0,0,613,5.02000159375249
BR_0036,83,83,81,81,87,5.0149647976308485
BR_0191,585,585,0,0,618,4.9612319706749535
BR_0676,586,586,1,1,597,4.945087152923965
BR_0677,586,586,0,0,597,4.891545143039286
BR_0675,585,585,0,0,596,4.8832177862777915
BR_0747,567,567,0,0,583,4.751055861024783
BR_0251,298,298,42,42,309,4.742030810885251
BR_0659,238,238,51,51,246,4.713629196285323
BR_0232,560,560,0,0,581,4.710494860148219
BR_0295,561,561,0,0,574,4.690453422583473
BR_0634,500,500,6,6,535,4.581750903837517
BR_0785,527,527,3,3,539,4.564403223055901
BR_0035,466,466,12,12,474,4.524128152403698
BR_0774,103,103,68,68,112,4.5031963008138245
BR_0552,531,531,0,0,558,4.490278109809546
BR_0193,522,522,1,1,549,4.468873908840771
BR_0561,527,527,0,0,554,4.456968682763567
BR_0742,348,348,28,28,357,4.401718311992935
BR_0655,139,139,60,60,153,4.392375561604113
BR_0262,510,510,0,0,542,4.333134114272053
BR_0028,505,505,2,2,514,4.317021066545993
BR_0227,498,498,2,2,514,4.283552264250989
BR_0547,368,368,21,21,386,4.225386271647103
BR_0029,503,503,0,0,511,4.189736233962866
BR_0354,467,467,5,5,481,4.178938035717122
BR_0553,493,493,0,0,519,4.1702924535819585
BR_0228,496,496,0,0,514,4.166905729540202
BR_0037,178,178,50,50,184,4.153353582129387
BR_0718,80,80,65,65,87,4.143948867063845
BR_0563,485,485,0,0,511,4.1036735994899995
BR_0562,334,334,24,24,352,4.102882171410312
BR_0551,483,483,0,0,512,4.09765718383935
BR_0026,481,481,0,0,492,4.017172683082317
BR_0027,481,481,0,0,491,4.013626583791537
BR_0635,470,470,0,0,501,3.9964937445214765
BR_0513,466,466,0,0,489,3.934815523149255
BR_0194,462,462,0,0,487,3.908598294684835
BR_0482,323,323,22,22,329,3.8616440357751483
BR_0401,449,449,0,0,480,3.8216192525300823
BR_0629,442,442,1,1,472,3.813323665793516
BR_0521,446,446,0,0,481,3.8108215794087172
BR_0353,454,454,0,0,467,3.7994262491035142
BR_0260,444,444,0,0,475,3.7799824687226073
BR_0574,413,413,5,5,439,3.771813962085757
BR_0554,413,413,5,5,438,3.7682678627949766
BR_0437,444,444,0,0,468,3.7551597736871467
BR_0565,442,442,0,0,468,3.745597258745717
BR_0375,165,165,44,44,172,3.7273919842126606
BR_0564,440,440,0,0,465,3.7253964459319473
BR_0738,398,398,7,7,408,3.697250041780208
BR_0566,436,436,0,0,462,3.6956331181767474
BR_0567,436,436,0,0,461,3.6920870188859674
BR_0596,182,182,39,39,207,3.665076786968723
BR_0724,107,107,51,51,115,3.6227454605294858
BR_0052,323,323,17,17,333,3.608118383514875
BR_0261,420,420,0,0,451,3.580125906446729
BR_0542,425,425,0,0,443,3.5756633994740614
BR_0543,425,425,0,0,443,3.5756633994740614
BR_0073,418,418,0,0,436,3.5173719021435974
BR_0453,411,411,0,0,441,3.5016335963024945
BR_0573,407,407,0,0,433,3.454139772093394
BR_0643,407,407,0,0,431,3.447047573511834
BR_0459,401,401,0,0,436,3.4360905251414455
BR_0058,408,408,0,0,426,3.434098334528648
BR_0621,406,406,0,0,421,3.4068053231333173
BR_0056,404,404,0,0,422,3.400788907482668
BR_0057,403,403,0,0,421,3.392461550721173
BR_0307,359,359,7,7,369,3.372483128081906
BR_0143,393,393,1,1,410,3.3591838937001226
BR_0445,312,312,14,14,322,3.3558914294843945
BR_0508,140,140,40,40,155,3.333408819962813
BR_0118,398,398,0,0,409,3.3260020718782375
BR_0597,390,390,0,0,419,3.32321300502032
BR_0601,59,59,52,52,65,3.269482147280847
BR_0432,383,383,0,0,407,3.247191011235955
BR_0270,390,390,0,0,397,3.2451988206231572
BR_0162,380,380,0,0,406,3.229301139533031
BR_0557,381,381,0,0,403,3.223444099131405
BR_0745,299,299,13,13,317,3.2224625760265235
BR_0585,378,378,0,0,400,3.19846202884692
BR_0055,379,379,0,0,394,3.1819666905729544
BR_0054,379,379,0,0,394,3.1819666905729544
BR_0164,372,372,0,0,398,3.162682285441071
BR_0636,368,368,0,0,403,3.1612877520121123
BR_0558,373,373,0,0,395,3.156825245039445
BR_0735,184,184,30,30,192,3.1395697235863422
BR_0555,371,371,0,0,392,3.136624432225675
BR_0763,374,374,0,0,384,3.122599410311579
BR_0267,297,297,12,12,306,3.120350959001833
BR_0593,366,366,0,0,393,3.1162642441628816
BR_0269,358,358,2,2,368,3.096445721897017
BR_0452,361,361,0,0,391,3.0852657582277474
BR_0581,360,360,0,0,386,3.0627540043031316
BR_0716,366,366,0,0,377,3.0595266555103993
BR_0717,365,365,0,0,376,3.0511992987489043
BR_0509,220,220,22,22,239,3.050025580121311
BR_0575,361,361,0,0,381,3.049804765319946
BR_0576,361,361,0,0,379,3.042712566738386
BR_0402,355,355,0,0,386,3.0388477169495576
BR_0140,357,357,0,0,381,3.0306797354370865
BR_0560,359,359,0,0,377,3.026057853215396
BR_0034,361,361,0,0,370,3.010797673121364
BR_0141,354,354,0,0,378,3.005697665152602
BR_0746,355,355,0,0,373,2.992748426169416
BR_0529,348,348,0,0,369,2.9450952267112918
BR_0403,340,340,0,0,376,2.931667861981035
BR_0033,325,325,4,4,334,2.9251808692462613
BR_0024,62,62,45,45,68,2.91967014837258
BR_0072,346,346,0,0,360,2.903617818152841
BR_0265,344,344,0,0,355,2.8763248067575105
BR_0091,339,339,0,0,360,2.8701490158578373
BR_0571,327,327,1,1,358,2.8592237375123783
BR_0092,337,337,0,0,358,2.8534943023348474
BR_0678,97,97,38,38,105,2.843425764413712
BR_0512,334,334,0,0,354,2.8249661327595823
BR_0556,333,333,0,0,351,2.809546577416527
BR_0572,327,327,0,0,358,2.8056817276276993
BR_0458,325,325,0,0,351,2.771296517650809
BR_0268,324,324,1,1,334,2.75977358212151
BR_0166,326,326,0,0,337,2.726432385050602
BR_0544,296,296,4,4,315,2.7191485160707094
BR_0020,322,322,0,0,339,2.7143995537493026
BR_0019,320,320,0,0,337,2.6977448402263127
BR_0417,317,317,0,0,341,2.6975854649772892
BR_0672,47,47,43,43,54,2.6912218764715785
BR_0075,194,194,20,20,203,2.690969291645284
BR_0051,321,321,0,0,333,2.6883417005339076
BR_0683,320,320,0,0,333,2.6835604430631923
BR_0264,319,319,0,0,332,2.6752330863016973
BR_0582,312,312,0,0,340,2.6701330783329347
BR_0165,314,314,0,0,337,2.669057295402024
BR_0018,314,314,0,0,337,2.669057295402024
BR_0744,293,293,4,4,304,2.6657976514599837
BR_0531,313,313,0,0,333,2.650091640768189
BR_0050,313,313,0,0,325,2.6217228464419478
BR_0530,308,308,0,0,327,2.604908757669934
BR_0025,183,183,20,20,191,2.59582226797806
BR_0496,302,302,0,0,329,2.583313411427205
BR_0017,303,303,0,0,327,2.58100247031636
BR_0043,301,301,1,1,314,2.578882674479467
BR_0090,304,304,0,0,323,2.571599330623954
BR_0682,306,306,0,0,319,2.5669774484022634
BR_0274,308,308,0,0,316,2.5659016654713525
BR_0438,302,302,0,0,322,2.558490716391744
BR_0404,296,296,0,0,328,2.551079767312136
BR_0275,301,301,0,0,319,2.5430711610486894
BR_0532,299,299,0,0,319,2.5335086461072596
BR_0047,296,296,0,0,322,2.5298031715674556
BR_0142,298,298,0,0,319,2.528727388636545
BR_0060,200,200,16,16,209,2.526765392675539
BR_0733,299,299,0,0,313,2.5122320503625786
BR_0570,291,291,0,0,321,2.5023507849231015
BR_0619,221,221,12,12,232,2.494564043709778
BR_0259,293,293,0,0,311,2.4764523069567295
BR_0569,287,287,0,0,317,2.469041357877122
BR_0110,95,95,31,31,101,2.444884783116411
BR_0483,261,261,5,5,269,2.442225947104484
BR_0734,201,201,14,14,214,2.442193126830797
BR_0044,288,288,0,0,303,2.4241772252769147
BR_0137,289,289,0,0,300,2.418320184875289
BR_0559,286,286,0,0,304,2.418160809626265
BR_0684,287,287,0,0,302,2.41584986851542
BR_0233,286,286,0,0,303,2.414614710335485
BR_0685,286,286,0,0,299,2.4004303131723645
BR_0048,280,280,0,0,306,2.3965654633835367
BR_0046,280,280,0,0,300,2.375288867638856
BR_0583,249,249,5,5,264,2.3671203610020055
BR_0045,280,280,0,0,294,2.354012271894175
BR_0439,276,276,0,0,291,2.324248944138975
BR_0081,58,58,34,34,65,2.3009447118859145
BR_0030,273,273,0,0,282,2.2779902781098094
BR_0550,267,267,0,0,290,2.277671527611762
BR_0161,268,268,0,0,287,2.2718144872101362
BR_0511,263,263,0,0,282,2.2301777034026617
